,Name,Team,Batting_Hand,Bowling_Type,Role,Matches,Innings,Not Outs,Runs,Highest,Average,BF,SR,100,200,50,4,6,Matches,Innings,Balls,Runs,Wickets,BBI,BBM,Economy,Average,SR,5W,10W
0,Ruturaj Gaikwad,Chennai Super Kings,Right,Right-arm offbreak,BATSMAN,6,6,2,204,72,51.0,169,120.71,0,0,3,16,6,6,-,-,-,-,-,-,-,-,-,-,-
1,Ambati Rayudu,Chennai Super Kings,Right,Right-arm offbreak,BATSMAN,159,151,27,3659,100,29.51,2902,126.09,1,0,19,308,132,159,-,-,-,-,-,-,-,-,-,-,-
2,Faf du Plessis,Chennai Super Kings,Right,Right-arm legbreak,BATSMAN,84,77,7,2302,96,32.89,1781,129.25,0,0,16,205,73,84,1,6,16,0,0/16,0/16,16.0,0.0,0.0,0,0
3,Suresh Raina,Chennai Super Kings,Left,Right-arm offbreak,BATSMAN,193,189,28,5368,100,33.34,3915,137.11,1,0,38,493,194,193,69,908,1118,25,2/0,2/0,7.39,44.72,36.32,0,0
4,Cheteshwar Pujara,Chennai Super Kings,Right,Right-arm legbreak,BATSMAN,30,22,3,390,51,20.53,391,99.74,0,0,1,50,4,30,-,-,-,-,-,-,-,-,-,-,-
5,Hari Nishanth,Chennai Super Kings,Left,Right-arm offbreak,BATSMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Shreyas Iyer,Delhi Capitals,Right,Right-arm legbreak,BATSMAN,79,79,9,2200,96,31.43,1745,126.07,0,0,16,189,83,79,-,-,-,-,-,-,-,-,-,-,-
7,Shikhar Dhawan,Delhi Capitals,Left,Right-arm offbreak,BATSMAN,176,175,23,5196,106,34.18,4096,126.86,2,0,41,591,108,176,6,48,66,4,1/7,1/7,8.25,16.5,12.0,0,0
8,Prithvi Shaw,Delhi Capitals,Right,Right-arm offbreak,BATSMAN,38,38,0,826,99,21.74,591,139.76,0,0,6,99,27,38,-,-,-,-,-,-,-,-,-,-,-
9,Ajinkya Rahane,Delhi Capitals,Right,Right-arm medium,BATSMAN,149,140,16,3933,105,31.72,3240,121.39,2,0,28,416,76,149,1,6,5,1,1/5,1/5,5.0,5.0,6.0,0,0
10,Shimron Hetmyer,Delhi Capitals,Left,,BATSMAN,17,16,3,275,75,21.15,198,138.89,0,0,1,15,19,17,-,-,-,-,-,-,-,-,-,-,-
11,Steven Smith,Delhi Capitals,Right,Right-arm legbreak,BATSMAN,95,86,20,2333,101,35.35,1805,129.25,1,0,11,212,58,95,1,2,5,0,0/5,0/5,0.0,0.0,0.0,0,0
